ID,Species,Organization,Type,Source,No_Media
mvz:amphibian and reptile specimens:mvz:herp:249828,Aneides lugubris,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:232794,Amphiuma means,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
umzc:vertebrates:r.16100,Ambystoma tigrinum,UMZC Zoological Specimens,Biological Specimen,iDigBio,0
cm:herps:20144,Siren intermedia,CM Herps Collection,Biological Specimen,iDigBio,3
uf:field#:DBM Male Skull,Desmognathus auriculatus,FLMNH Division of Herpetology,Biological Specimen,User Created,0
UCM:Amphibian and reptile specimens:UCM:Herp:22139,Bolitoglossa rufescens,UCM Herpetology Collection,Biological Specimen,iDigBio,1
ibunam:cnar:23011,Thorius minutissimus,Colección Nacional de Anfibios y Reptiles,Biological Specimen,User Created,2
usnm:amphibians & reptiles:100936,Hydromantes genei,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:167947,Ensatina eschscholtzii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
amnh:herpetology:26618,Salamandra salamandra,AMNH Herpetology Collections,Biological Specimen,User Created,2
usnm:amphibians & reptiles:294535,Plethodon dunni,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
uf:herp:162477,Amphiuma pholeter,FLMNH Division of Herpetology,Biological Specimen,iDigBio,6
mvz:amphibian and reptile specimens:250510,Necturus beyeri,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
umzc:vertebrates:r.16130,Necturus maculatus,UMZC Zoological Specimens,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:155649,Desmognathus marmoratus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:177187,Necturus beyeri,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
mvz:amphibian and reptile specimens:mvz:herp:52960,Aneides aeneus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:279429,Aneides flavipunctatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ypm:vz:ypm hera 013244,Necturus maculosus,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,2
